spec,n_obs,log_likelihood,aic,bic,pseudo_r2,base_category
spec_base_1,1074,-1055.0785395684816,2122.157079136963,2152.031950787376,0.0043921433526413756,Mixed Outcome
spec_base_2,1074,-1056.1291768971082,2124.2583537942164,2154.1332254446293,0.0034007263731097304,Mixed Outcome
spec_base_3,1074,-1053.4619980703071,2118.9239961406142,2148.798867791027,0.005917566679740083,Mixed Outcome
spec_extended_1,825,-764.7878942046068,1565.5757884092136,1650.4526893632378,0.09676741909804298,Mixed Outcome
spec_extended_1_spline,825,-752.2918082473057,1556.5836164946113,1679.183584539313,0.11152559199266543,Mixed Outcome
spec_extended_1_spline_interact,825,-742.6982378491151,1553.3964756982302,1713.7195108336093,0.12285582540311213,Mixed Outcome
spec_extended_2,825,-765.3453700770825,1566.690740154165,1651.5676411081893,0.09610902691518741,Mixed Outcome
spec_extended_2_spline,825,-752.3447750809653,1556.6895501619306,1679.2895182066322,0.11146303691009785,Mixed Outcome
spec_extended_2_spline_interact,825,-742.933989121646,1553.867978243292,1714.1910133786712,0.12257739757762931,Mixed Outcome
spec_extended_3,825,-764.0126996951631,1564.0253993903261,1648.9023003443504,0.09768294213753104,Mixed Outcome
spec_extended_3_spline,825,-752.5100233567555,1557.020046713511,1679.6200147582126,0.11126787479029632,Mixed Outcome
spec_extended_3_spline_interact,825,-742.5905094582695,1553.181018916539,1713.504054051918,0.12298305517915498,Mixed Outcome
spec_c_pack,825,-762.3288882838792,1560.6577765677584,1645.5346775217827,0.09967156321572923,Mixed Outcome
spec_im_pack,825,-762.8165717857596,1561.6331435715192,1646.5100445255434,0.0990955974722797,Mixed Outcome
spec_p_pack,825,-761.9403271529752,1559.8806543059504,1644.7575552599747,0.10013046309602813,Mixed Outcome
spec_govprot_pack,825,-763.7571609785223,1563.5143219570446,1648.3912229110688,0.09798473940223784,Mixed Outcome
spec_c_reform,825,-762.3247869070343,1560.6495738140686,1645.5264747680928,0.09967640703873026,Mixed Outcome
spec_im_reform,825,-763.4525309549823,1562.9050619099646,1647.7819628639888,0.09834451466079941,Mixed Outcome
spec_p_reform,825,-761.8336432675686,1559.6672865351372,1644.5441874891615,0.10025645928645777,Mixed Outcome
spec_govprot_reform,825,-764.4754637813846,1564.9509275627693,1649.8278285167935,0.09713640681301294,Mixed Outcome
spec_c_attack,825,-763.4642459788905,1562.928491957781,1647.8053929118053,0.09833067894064729,Mixed Outcome
spec_im_attack,825,-764.6564074277014,1565.3128148554028,1650.189715809427,0.09692270808961656,Mixed Outcome
spec_p_attack,825,-763.18492174058,1562.36984348116,1647.2467444351842,0.09866056746868179,Mixed Outcome
spec_govprot_attack,825,-764.8199820065887,1565.6399640131774,1650.5168649672016,0.09672952264541967,Mixed Outcome
spec_c_reform_decision,825,-734.4796981204111,1552.9593962408221,1751.0054984668786,0.1325621150902978,Mixed Outcome
spec_p_reform_decision,825,-733.8242691538626,1551.6485383077252,1749.6946405337817,0.1333361921926416,Mixed Outcome
spec_c_pack_decision,825,-734.6074012838214,1553.214802567643,1751.2609047936994,0.1324112946356979,Mixed Outcome
spec_p_pack_decision,825,-734.0583351707512,1552.1166703415024,1750.162772567559,0.13305975469390785,Mixed Outcome
